http://www.aibl.fr/membres/academiciens-depuis-1663/;;;;;;;;;;
;;;;;;;;;;
"de 1663 à 1701 : une seule catégorie, celle de membre (M) ;";;;;;;;;;;
"de 1701 à 1793 : ont été retenues les catégories de membres honoraire (H), pensionnaire (P) et d’associé libre (AL) ; les deux premières correspondent à celles des membres actuels, la dernière à celle des associés étrangers ;";;;;;;;;;;
"de 1795 à 1816 : les différentes catégories de membres ont été fondues ensemble (M) ; s’y ajoutent des associés étrangers (AE) ;";;;;;;;;;;
"de 1816 à 1999 : trois catégories de membres : membre ordinaire (O), membre libre (L) et associé étranger (AE) ;";;;;;;;;;;
depuis 1999 : une seule catégorie, celle de membre (M), à laquelle s’adjoignent des associés étrangers (AE).;;;;;;;;;;
;;;;;;;;;;
FullName;VIAF Number;Pseudonym (dit);;;;;;;;
 CURETON, William ;;;1808;AE;1860;1864;;;;
 CURTIUS, Ernst ;;;1814;AE;1889;1896;;;;
 CURTO, Silvio ;;;1919;AE;1998;;;;;
 CUVIER, Jean-Léopold-Nicolas-Frédéric, baron CUVIER, dit Georges ;;;1769;L;1830;1832 ;;;;
;;;;;;;;;;
Retour en haut de page;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
 DACIER, André (1651 - M 1695 - 1722);;;;;;;;;;
" DACIER, Bon-Joseph (1742 - P 1792 ; M 1795 - 1833)";;;;;;;;;;
 DAGRON, Gilbert (1932 - O 1994);;;;;;;;;;
 DAIN, Marie, Alphonse (1896 - L 1962 - 1964);;;;;;;;;;
 DALBERG, Carl-Théodor-Anton-Marie, baron de (1744 - AE 1804 - 1817);;;;;;;;;;
 DAMBRAY, Charles-Henri (1760 - L 1816 - 1829);;;;;;;;;;
 DAUNOU, Pierre-Claude-François (1761 - M 1795 - 1840);;;;;;;;;;
 DAUX, Georges, Louis (1899 - L 1971 - 1988);;;;;;;;;;
 DEFRÉMERY, François (1822 - O 1869 - 1883);;;;;;;;;;
 DE GERANDO, Joseph-Marie, baron de (1772 - M 1805 - 1842);;;;;;;;;;
 DE GOEJE, Michael, Jan (1836 - AE 1900 - 1909);;;;;;;;;;
 DEHÈQUE, Félix-Désiré (1794 - L 1859 - 1870);;;;;;;;;;
 DELABORDE, Bénigne, Marie, Henri, François, comte (1854 - O 1917 - 1927);;;;;;;;;;
 DELACHENAL, Jean, Pierre, François, dit Roland (1854 - O 1920 - 1923);;;;;;;;;;
 DELEHAYE, le R. P. Hippolyte (1859 - AE 1925 - 1941);;;;;;;;;;
 DELISLE, Léopold, Victor (1826 - O 1857 - 1910);;;;;;;;;;
 DELISLE de SALES, Jean-Claude IZOUARD, dit (1736 - M 1795 - 1816);;;;;;;;;;
 DELOCHE, Jules, Edmond, Maximin (1817 - O 1871 - 1900);;;;;;;;;;
 DELUMEAU, Jean, Léon, Marie, Joseph, André (1923 - O 1988);;;;;;;;;;
 DEMARGNE, Pierre, Marie, Joseph, Gabriel (1903 - O 1969 - 2000);;;;;;;;;;
 DEMIÉVILLE, Paul, Henri (1894 - O 1951 - 1979);;;;;;;;;;
 DENTZER, Jean-Marie (1935 - M 2002);;;;;;;;;;
 DERENBOURG, Hartwig (1844 - O 1900 - 1908);;;;;;;;;;
 DERENBOURG, Joseph (1811 - O 1871 - 1895);;;;;;;;;;
 DÉROCHE, François (1952 - M 2011);;;;;;;;;;
 DE ROSSI, Gian-Battista (1822 - AE 1867 - 1894);;;;;;;;;;
 DE SANCTIS, Gaetano (1870 - AE 1953 - 1957);;;;;;;;;;
DESANGES, Jehan (1929 - M 2012);;;;;;;;;;
 DESCHAMPS, Paul (1888 - O 1942 – 1974);;;;;;;;;;
 DESJARDINS, Ernest-Émile-Antoine (1823 - O 1875 - 1886);;;;;;;;;;
 DESNOYERS, Jules-Pierre-François-Stanislas (1800 - L 1862 - 1887);;;;;;;;;;
 DESORMEAUX, Joseph-Louis RIPAULT (1724 - P 1788 - 1793);;;;;;;;;;
 DEVAMBEZ, Pierre, André (1902 - O 1970 - 1980);;;;;;;;;;
 DEVÉRIA, Jean, Gabriel (1844 - O 1897 - 1899);;;;;;;;;;
 DEVOTO, Giacomo (1897 - AE 1967 - 1974);;;;;;;;;;
 DE WITTE, Jean-Joseph-Antoine-Marie, baron de (1808 - AE 1844 - 1889);;;;;;;;;;
 DHORME, Édouard (1881 - O 1948 - 1966);;;;;;;;;;
 DIDOT, Ambroise-Firmin (1790 - L 1872 - 1876);;;;;;;;;;
 DIEHL, Michel, Charles (1859 - O 1910 - 1944);;;;;;;;;;
 DIÈS, Mgr Auguste, Jules, Louis (1875 - L 1943 - 1958);;;;;;;;;;
