;http://www.asmp.fr/presentation/academiciens.htm;;;;;;;;;;;;;;;;;
;Full Name;VIAF;VIAF URL;URL www.asmp.fr;Birth Year;Death Year;Also Known As;Start Day;End Date;Seat;Section;Section Number;WikiName;Wiki URL;;;;
Eugène CAUCHY;Cauchy, Eugène;41871360;http://viaf.org/viaf/41871360;;1802;1877;;1866;1877;5;Législation, droit public et jurisprudence;II;;;;;;
Esquirou de PARIEU;Parieu, Marie-Louis-Pierre Fe_lix Esquirou de;49372727;http://viaf.org/viaf/49372727;;1815;1893;;1866;1893;7;Législation, droit public et jurisprudence;II;;;;;;
Sylvain DUMONT;;;;;;;;1866;;8;Législation, droit public et jurisprudence;II;;;;;;
Henri BAUDRILLART;Baudrillart, Henri;66583744;http://viaf.org/viaf/66583744;;1821;1894;Baron;1866;1894;8;Législation, droit public et jurisprudence;II;;;;;;
Marquis d'AUDIFFRED;Audiffret, Gaston d';17329417;http://viaf.org/viaf/17329417;http://fr.wikipedia.org/wiki/Charles_d'Audiffret;1787;1878;;1866;1878;7;Économie politique et statistique;III;;;;;;
Adolphe VUITRY;Vuitry, Adolphe;24741162;http://viaf.org/viaf/24741162;;1813;1885;Marquis;1866;1885;8;Économie politique et statistique;III;;;;;;
Jean-Pierre CLÉMÉNT;Clément, Pierre;49247423;http://viaf.org/viaf/49247423;;1809;1870;;1866;1870;7;Histoire générale et philosophique;V;;;;;;
Mortimer TERNAUX;Ternaux, Mortimer;29573341;http://viaf.org/viaf/29573341;;1808;1871;;1866;1871;8;Histoire générale et philosophique;V;;;;;;
Auguste CASIMIR- PERIER;Casimir-Pe_rier, Auguste;17334129;http://viaf.org/viaf/17334129;;1811;1876;;1867;1876;2;Membres libres;VI;;;;;;
Étienne VACHEROT;Vacherot, E_tienne;5037798;http://viaf.org/viaf/5037798;;1809;1897;;1868;1897;3;Philosophie;I;;;;;;
Émile LEVASSEUR;Levasseur, Émile;39437741;http://viaf.org/viaf/39437741;http://www.asmp.fr/fiches_academiciens/decede/LEVASSEUR.htm;1828;1911;;1868;1911;3;Économie politique et statistique;III;;;;;;
Auguste VALETTE;Valette, Auguste;69705253;http://viaf.org/viaf/69705253;;1805;1878;;1869;1878;1;Législation, droit public et jurisprudence;II;;;;;;
Jean NOURRISSON;Nourrisson, Jean-Félix;35238182;http://viaf.org/viaf/35238182;;1825;1899;;1870;1899;8;Philosophie;I;;;;;;
Odilon BARROT;Barrot, Odilon;30277549;http://viaf.org/viaf/30277549;;1791;1873;;1870;1873;3;Législation, droit public et jurisprudence;II;;;;;;
Paul PONT;Pont, Paul;11862790;http://viaf.org/viaf/11862790;;1808;1888;;1870;1888;8;Législation, droit public et jurisprudence;II;;;;;;
Charles VERGÉ;Verge_, Charles-Henri;61594678;http://viaf.org/viaf/61594678;;1810;1890;;1870;1890;3;Membres libres;VI;;;;;;
François DUBOIS;Dubois, Paul-Franc_ois;61854932;http://viaf.org/viaf/61854932;;1793;1874;;1870;1874;5;Membres libres;VI;Paul-François_Dubois;http://fr.wikipedia.org/wiki/Paul-Fran%C3%A7ois_Dubois;;;;
Henri MARTIN;Martin, Henri;41984820;http://viaf.org/viaf/41984820;;1810;1883;;1871;1883;7;Histoire générale et philosophique;V;;;;;;
Eugène ROSSEEUW-SAINT-HILAIRE;Rosseeuw Saint-Hilaire, Eugène;7602221;http://viaf.org/viaf/7602221;;;;;1872;;8;Histoire générale et philosophique;V;;http://fr.wikipedia.org/wiki/Eugène_Rosseeuw_Saint-Hilaire;;;;
Marc-Antoine CALMON;;;;;1815;1890;;1872;1890;1;Membres libres;VI;Marc_Antoine_Calmon;http://fr.wikipedia.org/wiki/Marc_Antoine_Calmon;;;;
Gabriel MASSÉ;;;;;1807;1881;;1874;1881;3;Législation, droit public et jurisprudence;II;GabrielMassé;http://fr.wikipedia.org/wiki/Gabriel_Mass%C3%A9;;;;
Jules ZELLER;;;;;1813;1900;;1874;1900;2;Histoire générale et philosophique;V;Jules_ Zeller;http://fr.wikipedia.org/wiki/Jules_Zeller;;;;
Auguste GEFFROY;;;;;1820;1895;;1874;1895;4;Histoire générale et philosophique;V;Auguste_Geffroy;http://fr.wikipedia.org/wiki/Auguste_Geffroy;;;;
Léon SAY;;;;;1826;1896;;1874;1896;5;Membres libres;VI;Léon_Say;http://fr.wikipedia.org/wiki/L%C3%A9on_Say;;;;
Francisque BOUILLIER;;;;;;;;1875;;4;Philosophie;I;;;;;;
Numa FUSTEL de COULANGES;;;;;1830;1889;;1875;1889;5;Histoire générale et philosophique;V;Numa_Denis_Fustel_de_Coulanges;http://fr.wikipedia.org/wiki/Numa_Denis_Fustel_de_Coulanges;;;;
Édouard CHARTON;;;;;1807;1890;;1876;1890;2;Membres libres;VI;Édouard_Charton;http://fr.wikipedia.org/wiki/%C3%89douard_Charton;;;;
Louis PEISSE;;;;;;;;1877;;2;Philosophie;I;;;;;;
Léon AUCOC;;;;;;;;1877;;5;Législation, droit public et jurisprudence;II;;;;;;
Frédéric PASSY;;;;;;;;1877;;6;Économie politique et statistique;III;;;;;;
Cléophas DARESTE;;;;;;;;1878;;1;Législation, droit public et jurisprudence;II;;;;;;
Paul LEROY-BEAULIEU;;;;;;;;1878;;7;Économie politique et statistique;III;;;;;;
Georges PICOT;;;;;;;;1878;;1;Histoire générale et philosophique;V;;;;;;
LAROMBIÈRE;;;;;;;;1879;;2;Législation, droit public et jurisprudence;II;;;;;;
Victor DURUY;;;;;;;;1879;;3;Histoire générale et philosophique;V;;;;;;
Maurice BLOCK;;;;http://www.asmp.fr/fiches_academiciens/decede/BLOCK.htm;;;;1880;;1;Économie politique et statistique;III;;;;;;
Léon SAY;;;;;;;;1880;;5;Économie politique et statistique;III;;;;;;
Émile BOUTMY (3);;;;;;;;1880;;5;Membres libres;VI;;;;;;
RAVAISSON-MOLLIEN;;;;;;;;1881;;2;Philosophie;I;;;;;;
Victor BONNET;;;;http://www.asmp.fr/fiches_academiciens/decede/BONNET.htm;;;;1881;;2;Économie politique et statistique;III;;;;;;
Hippolyte CARNOT;;;;;;;;1881;;6;Membres libres;VI;;;;;;
Arthur DESJARDINS;;;;;;;;1882;;3;Législation, droit public et jurisprudence;II;;;;;;
Ernest GLASSON;;;;;;;;1882;;6;Législation, droit public et jurisprudence;II;;;;;;
Jean COURCELLE-SENEUIL;;;;http://www.asmp.fr/fiches_academiciens/decede/COURCELLE-SENEUIL.htm;;;;1882;;4;Économie politique et statistique;III;;;;;;
Auguste HIMLY;;;;;;;;1884;;6;Histoire générale et philosophique;V;;;;;;
Adolphe CHÉRUEL;;;;;;;;1884;;7;Histoire générale et philosophique;V;;;;;;
Anselme BATBIE;;;;;;;;1885;;4;Législation, droit public et jurisprudence;II;;;;;;
Athanase CUCHEVAL-CLARIGNY;;;;http://www.asmp.fr/fiches_academiciens/decede/CUCHEVAL.htm;;;;1886;;2;Économie politique et statistique;III;;;;;;
Henri GERMAIN;;;;;;;;1886;;8;Économie politique et statistique;III;;;;;;
Xavier CHARMES;;;;;;;;1887;;7;Membres libres;VI;;;;;;
François PERRENS;;;;;;;;1887;;8;Membres libres;VI;;;;;;
Anatole LEROY-BEAULIEU;;;;;;;;1887;;9;Membres libres;VI;;;;;;
Albert DESJARDINS;;;;;;;;1887;;10;Membres libres;VI;;;;;;
Comte de FRANQUEVILLE;;;;;;;;1888;;4;Législation, droit public et jurisprudence;II;;;;;;
Colmet de SANTERRE;;;;;;;;1888;;8;Législation, droit public et jurisprudence;II;;;;;;
Antonin LEFEBVRE-PONTALIS;;;;;;;;1888;;6;Membres libres;VI;;;;;;
Albert SOREL;;;;;;;;1889;;5;Histoire générale et philosophique;V;;;;;;
Henri, duc d'AUMALE;;;;;;;;1889;;8;Histoire générale et philosophique;V;;;;;;
Louis de RÉMUSAT;;;;;;;;1890;;2;Membres libres;VI;;;;;;
Henri DONIOL;;;;;;;;1890;;3;Membres libres;VI;;;;;;
Louis BUFFET;;;;;;;;1890;;4;Membres libres;VI;;;;;;
Félix ROCQUIN;;;;;;;;1891;;7;Histoire générale et philosophique;V;;;;;;
Paul CAMBON;;;;;;;;1891;;1;Membres libres;VI;;;;;;
Adolphe GUILLOT;;;;;;;;1892;;8;Législation, droit public et jurisprudence;II;;;;;;
Clément JUGLAR;;;;http://www.asmp.fr/fiches_academiciens/decede/JUGLAR.htm;;;;1892;;4;Économie politique et statistique;III;;;;;;
Alfred FOUILÉE;;;;;;;;1893;;5;Philosophie;I;;;;;;
Alexandre BÉTOLAUD;;;;;;;;1893;;2;Législation, droit public et jurisprudence;II;;;;;;
Charles LYON-CAEN;;;;;;;;1893;;7;Législation, droit public et jurisprudence;II;;;;;;
Duc Albert de BROGLIE;;;;;;;;1895;;3;Histoire générale et philosophique;V;;;;;;
Achille LUCHAIRE;;;;;;;;1895;;4;Histoire générale et philosophique;V;;;;;;
Jules LACHELIER;;;;;;;;1896;;6;Philosophie;I;;;;;;
Alfred de FOVILLE;;;;http://www.asmp.fr/fiches_academiciens/decede/FOVILLE.htm;;;;1896;;2;Économie politique et statistique;III;;;;;;
René STOURM;;;;;;;;1896;;5;Économie politique et statistique;III;;;;;;
Léon OLLÉ-LAPRUNE;;;;;;;;1897;;3;Philosophie;I;;;;;;
Alfred RAMBAUD;;;;;;;;1897;;8;Histoire générale et philosophique;V;;;;;;
Gabriel MONOD;;;;;;;;1897;;2;Membres libres;VI;;;;;;
Louis PASSY;;;;;;;;1897;;10;Membres libres;VI;;;;;;
Émile BOUTROUX;;;;;;;;1898;;3;Philosophie;I;;;;;;
Eugène ROSTAND;;;;;;;;1898;;5;Membres libres;VI;;;;;;
Théodule RIBOT;;;;;;;;1899;;8;Philosophie;I;;;;;;
Alphonse CHODRON de COURCEL;;;;;;;;1899;;4;Membres libres;VI;;;;;;
Gabriel de TARDE;;;;;;;;1900;;1;Philosophie;I;;;;;;
Victor BROCHARD;;;;;;;;1900;;4;Philosophie;I;;;;;;
Charles RENOUVIER;;;;;;;;1900;;7;Philosophie;I;;;;;;
Arthur CHUQUET;;;;;;;;1900;;2;Histoire générale et philosophique;V;;;;;;
;;;;;;;;;;;;;;;;;;
;Henri BERGSON;;;;;;;1901;;2;Philosophie;I;;;;;;
;Louis RENAULT;;;;;;;1901;;3;Législation, droit public et jurisprudence;II;;;;;;
;Émile CHEYSSON;;;http://www.asmp.fr/fiches_academiciens/decede/CHEYSSON.htm;;;;1901;;1;Économie politique et statistique;III;;;;;;
;Gustave FAGNIEZ;;;;;;;1901;;3;Histoire générale et philosophique;V;;;;;;
;Albert BABEAU;;;;;;;1901;;8;Membres libres;VI;;;;;;
;Louis LIARD;;;;;;;1903;;7;Philosophie;I;;;;;;
;Léon LEFÉBURE;;;;;;;1903;;6;Membres libres;VI;;;;;;
;Adhémar ESMEIN;;;;;;;1904;;8;Législation, droit public et jurisprudence;II;;;;;;
;Alfred ESPINAS;;;;;;;1905;;1;Philosophie;I;;;;;;
;Paul BEAUREGARD;;;http://www.asmp.fr/fiches_academiciens/decede/BEAUREGARD.htm;;;;1905;;4;Économie politique et statistique;III;;;;;;
;Eugène d'EICHTAL;;;;;;;1905;;8;Économie politique et statistique;III;;;;;;
;Paul VIDAL de LA BLACHE;;;;;;;1906;;5;Histoire générale et philosophique;V;;;;;;
;Paul GUIRAUD;;;;;;;1906;;8;Histoire générale et philosophique;V;;;;;;
;Edmond VILLEY-DESMESERETS;;;;;;;1906;;9;Membres libres;VI;;;;;;
;Charles MORIZOT-THIBAULT;;;;;;;1907;;6;Législation, droit public et jurisprudence;II;;;;;;
;Gabriel COMPAYRÉ;;;;;;;1907;;8;Législation, droit public et jurisprudence;II;;;;;;
;Henri WELSCHINGER;;;;;;;1907;;6;Histoire générale et philosophique;V;;;;;;
;Pierre de LA GORCE;;;;;;;1907;;8;Histoire générale et philosophique;V;;;;;;
;Félix VOISIN;;;;;;;1907;;3;Membres libres;VI;;;;;;
;François EVELLIN;;;;;;;1908;;4;Philosophie;I;;;;;;
;Pierre IMBART de LA TOUR;;;;;;;1909;;4;Histoire générale et philosophique;V;;;;;;
;Clément COLSON;;;;;;;1910;;1;Économie politique et statistique;III;;;;;;
;Victor DELBOS;;;;;;;1911;;4;Philosophie;I;;;;;;
;Maurice SABATIER;;;;;;;1911;;5;Législation, droit public et jurisprudence;II;;;;;;
;Georges LACOUR-GAYET;;;;;;;1911;;1;Histoire générale et philosophique;V;;;;;;
;Jacques FLACH;;;;;;;1912;;1;Législation, droit public et jurisprudence;II;;;;;;
;André LIESSE;;;;;;;1912;;3;Économie politique et statistique;III;;;;;;
;Auguste ARNAUNÉ;;;;;;;1912;;6;Économie politique et statistique;III;;;;;;
;Albert DELATOUR;;;;;;;1912;;2;Membres libres;VI;;;;;;
;Louis LÉPINE;;;;;;;1912;;6;Membres libres;VI;;;;;;
;Pierre JANET;;;;;;;1913;;5;Philosophie;I;;;;;;
;Jean BOURDEAU;;;;;;;1913;;8;Législation, droit public et jurisprudence;II;;;;;;
;Raphaël-Georges LÉVY;;;;;;;1913;;2;Économie politique et statistique;III;;;;;;
;André WEISS;;;;;;;1914;;8;Législation, droit public et jurisprudence;II;;;;;;
;Paul DESCHANEL (1);;;;;;;1914;;8;Membres libres;VI;;;;;;
;Charles ADAM;;;;;;;1914;;10;Membres libres;VI;;;;;;
;Lucien LÉVY-BRUHL;;;;;;;1917;;4;Philosophie;I;;;;;;
;Antoine SERTILLANGES;;;;;;;1918;;8;Philosophie;I;;;;;;
;Georges TESSIER;;;;;;;1918;;2;Législation, droit public et jurisprudence;II;;;;;;
;Alexandre MILLERAND;;;;;;;1918;;5;Législation, droit public et jurisprudence;II;;;;;;
;Célestin JONNARD;;;;;;;1918;;5;Membres libres;VI;;;;;;
;Léon BRUNSCHVICG;;;;;;;1919;;6;Philosophie;I;;;;;;
;Édouard LE ROY;;;;;;;1919;;7;Philosophie;I;;;;;;
;Henry BERTHÉLEMY;;;;;;;1919;;3;Législation, droit public et jurisprudence;II;;;;;;
;Auguste DESCHAMPS;;;;;;;1919;;4;Économie politique et statistique;III;;;;;;
;Gustave SCHELLE;;;;;;;1919;;5;Économie politique et statistique;III;;;;;;
;Auguste SOUCHON;;;;;;;1919;;7;Économie politique et statistique;III;;;;;;
;Fernand LAUDET;;;;;;;1919;;3;Membres libres;VI;;;;;;
;Léon BOURGEOIS;;;;;;;1919;;7;Membres libres;VI;;;;;;
;Maréchal Philippe PÉTAIN;;;;;;;1919;;8;Membres libres;VI;;;;;;
;Paul ANDRÉ;;;;;;;1920;;1;Législation, droit public et jurisprudence;II;;;;;;
;Émile BOURGEOIS;;;;;;;1920;;5;Histoire générale et philosophique;V;;;;;;
;Christian PFISTER;;;;;;;1920;;6;Histoire générale et philosophique;V;;;;;;
;Hébrard de VILLENEUVE;;;;;;;1920;;4;Membres libres;VI;;;;;;
;Charles DUPUIS;;;;;;;1921;;4;Législation, droit public et jurisprudence;II;;;;;;
;André LALANDE;;;;;;;1922;;1;Philosophie;I;;;;;;
;Raymond THUMIN;;;;;;;1922;;3;Philosophie;I;;;;;;
;Henri TRUCHY;;;;;;;1922;;7;Économie politique et statistique;III;;;;;;
;Mgr Eugène JULIEN;;;;;;;1925;;1;Membres libres;VI;;;;;;
;Emmanuel RODOCANACHI;;;;;;;1925;;4;Membres libres;VI;;;;;;
;Jules JUSSERAND;;;;;;;1925;;9;Membres libres;VI;;;;;;
;Marcel MARION;;;;;;;1926;;2;Histoire générale et philosophique;V;;;;;;
;Paul MATTER;;;;;;;1926;;7;Histoire générale et philosophique;V;;;;;;
;Camille BARRÈRE;;;;;;;1926;;7;Membres libres;VI;;;;;;
;Jacques BARTHÉLEMY;;;;;;;1927;;6;Législation, droit public et jurisprudence;II;;;;;;
;Louis GERMAIN-MARTIN;;;;;;;1927;;6;Économie politique et statistique;III;;;;;;
;Jean BRUNHES;;;;;;;1927;;4;Histoire générale et philosophique;V;;;;;;
;Charles RIST;;;;;;;1928;;5;Économie politique et statistique;III;;;;;;
;Frantz FUNCK-BRENTANO;;;;;;;1928;;3;Histoire générale et philosophique;V;;;;;;
;Frédéric FRANçOIS-MARSAL;;;;;;;1928;;5;Membres libres;VI;;;;;;
;Henri CAPITANT;;;;;;;1929;;8;Législation, droit public et jurisprudence;II;;;;;;
;PAUL-GAULTIER;;;;;;;1929;;8;Législation, droit public et jurisprudence;II;;;;;;
;Georges RISLER;;;;;;;1930;;1;Membres libres;VI;;;;;;
;Sébastien CHARLÉTY;;;;;;;1931;;4;Histoire générale et philosophique;V;;;;;;
