Last Name, First Name;Last Name;First Name;Wikipedia Name;Birth Dates;Death Dates;Website;Website;VIAF ID;Membership (s);Membership (s) (cont.);Membership (s) (cont.);Membership (s) (cont.)
Steinwehr,  Wolf Adolf von Balthasar;Steinwehr; Wolf Adolf von Balthasar; Wolf Adolf von Balthasar Steinwehr;1704;1771;http://viaf.org/viaf/9577069;http://viaf.org/viaf/;9577069;AM 19.03.1738 ;;;
Argens,  Jean-Baptiste de Boyer;Argens; Jean-Baptiste de Boyer; Jean-Baptiste de Boyer Argens;1704;1771;http://viaf.org/viaf/4925994;http://viaf.org/viaf/;4925994;OM 23.01.1744 ;;;
Francheville,  Joseph du Fresne de;Francheville; Joseph du Fresne de; Joseph du Fresne de Francheville;1704;1781;http://viaf.org/viaf/44396345;http://viaf.org/viaf/;44396345;OM 23.01.1744 ;;;
Goltz, Georg Conrad von der;Goltz;Georg Conrad von der;Georg Conrad von der Goltz;1704;1747;http://viaf.org/viaf/20440201;http://viaf.org/viaf/;20440201;EM 31.01.1744 ;;;
Cramer,  Gabriel;Cramer; Gabriel; Gabriel Cramer;1704;1752;http://viaf.org/viaf/51966202;http://viaf.org/viaf/;51966202;AM 12.08.1746 ;;;
Segner,  Johann Andreas von;Segner; Johann Andreas von; Johann Andreas von Segner;1704;1777;http://viaf.org/viaf/39446070;http://viaf.org/viaf/;39446070;AM 12.08.1746 ;;;
Fontaine des Bertins,  Alexis;Fontaine des Bertins; Alexis; Alexis Fontaine des Bertins;1704;1771;http://viaf.org/viaf/5710774;http://viaf.org/viaf/;5710774;AM 11.02.1747 ;;;
Godin,  Luis;Godin; Luis; Luis Godin;1704;1760;http://viaf.org/viaf/47038188;http://viaf.org/viaf/;47038188;AM 16.03.1752 ;;;
Duclos,  Charles Pineau;Duclos; Charles Pineau; Charles Pineau Duclos;1704;1772;http://viaf.org/viaf/66731528;http://viaf.org/viaf/;66731528;AM 15.06.1752 ;;;
Cartheuser,  Johann Friedrich;Cartheuser; Johann Friedrich; Johann Friedrich Cartheuser;1704;1777;http://viaf.org/viaf/54931818;http://viaf.org/viaf/;54931818;AM 16.11.1758 ;;;
Jaucourt, Louis de ;Jaucourt;Louis de ;Louis de  Jaucourt;1704;1779;http://viaf.org/viaf/51744988;http://viaf.org/viaf/;51744988;AM 05.01.1764 ;;;
Iselin,  Johann Rudolf;Iselin; Johann Rudolf; Johann Rudolf Iselin;1705;1779;http://viaf.org/viaf/59855528;http://viaf.org/viaf/;59855528;AM 02.13.1726 ;;;
Perlitzi,  Johann Daniel;Perlitzi; Johann Daniel; Johann Daniel Perlitzi;1705;1778;http://viaf.org/viaf/30265091;http://viaf.org/viaf/;30265091;AM 13.06.1731 ;;;
Du Perron de Castera, Louis-Adrien;Du Perron de Castera;Louis-Adrien;Louis-Adrien Du Perron de Castera;1705;1752;http://viaf.org/viaf/79017654;http://viaf.org/viaf/;79017654;AM 12.08.1746 ;;;
Tressan, Louis Élisabeth de La Vergne de;Tressan;Louis Élisabeth de La Vergne de;Louis Élisabeth de La Vergne de Tressan;1705;1783;http://viaf.org/viaf/7425031;http://viaf.org/viaf/;7425031;AM 05.02.1750 ;;;
Jariges,  Philipp Joseph von;Jariges; Philipp Joseph von; Philipp Joseph von Jariges;1706;1770;http://viaf.org/viaf/42619690;http://viaf.org/viaf/;42619690;OM 31.10.1731  to 27.11.1755 ;EM 27.11.1755 ;;
Baumgarten,  Siegmund Jacob;Baumgarten; Siegmund Jacob; Siegmund Jacob Baumgarten;1706;1757;http://viaf.org/viaf/56619902;http://viaf.org/viaf/;56619902;AM 07.04.1748 ;;;
Cahusac,  Louis de;Cahusac; Louis de; Louis de Cahusac;1706;1759;http://viaf.org/viaf/4939364;http://viaf.org/viaf/;4939364;AM 28.06.1753 ;;;
Sauvages de la Croix,  François Boissier de;Sauvages de la Croix; François Boissier de; François Boissier de Sauvages de la Croix;1706;1767;http://viaf.org/viaf/17446949;http://viaf.org/viaf/;17446949;AM 15.01.1755 ;;;
Ludovici, Carl Günther;Ludovici;Carl Günther;Carl Günther Ludovici;1707;1778;http://viaf.org/viaf/54223680;http://viaf.org/viaf/;54223680;AM 19.03.1738 ;;;
Ludolf,  Christian Friedrich;Ludolf; Christian Friedrich; Christian Friedrich Ludolf;1707;1763;http://viaf.org/viaf/71799561;http://viaf.org/viaf/;71799561;OM 04.12.1738 ;;;
Euler,  Leonhard;Euler; Leonhard; Leonhard Euler;1707;1783;http://viaf.org/viaf/24639786;http://viaf.org/viaf/;24639786;OM 1741  to  29.05.1766 ;AM 05.29.1766 ;;
Lamprecht,  Jakob Friedrich;Lamprecht; Jakob Friedrich; Jakob Friedrich Lamprecht;1707;1744;http://viaf.org/viaf/10698078;http://viaf.org/viaf/;10698078;OM 23.01.1744 ;;;
Süssmilch,  Johann Peter;Süssmilch; Johann Peter; Johann Peter Süssmilch;1707;1767;http://viaf.org/viaf/19777469;http://viaf.org/viaf/;19777469;OM 29.01.1745 ;;;
Buffon,  Georges-Louis Leclerc;Buffon; Georges-Louis Leclerc; Georges-Louis Leclerc Buffon;1707;1788;http://viaf.org/viaf/36915547;http://viaf.org/viaf/;36915547;AM 03.02.1746 ;;;
Linnaeus,  Karl von;Linnaeus; Karl von; Karl von Linnaeus;1707;1778;http://viaf.org/viaf/34594730;http://viaf.org/viaf/;34594730;AM 30.06.1746 ;;;
Huber,  Johann Jacob;Huber; Johann Jacob; Johann Jacob Huber;1707;1778;http://viaf.org/viaf/64877830;http://viaf.org/viaf/;64877830;AM 16.10.1760 ;;;
Lyonet,  Pierre;Lyonet; Pierre; Pierre Lyonet;1707;1789;http://viaf.org/viaf/39214638;http://viaf.org/viaf/;39214638;AM 23.10.1760 ;;;
Euler,  Leonhard;Euler; Leonhard; Leonhard Euler;1707;1783;http://viaf.org/viaf/24639786;http://viaf.org/viaf/;24639786;OM 1741  bis 29.05.1766 ;AM 29.05.1766 ;;
Mencke,  Friedrich Otto;Mencke; Friedrich Otto; Friedrich Otto Mencke;1708;1754;http://viaf.org/viaf/67228509;http://viaf.org/viaf/;67228509;AM 10.18.1734 ;;;
Haller,  Albrecht von;Haller; Albrecht von; Albrecht von Haller;1708;1777;http://viaf.org/viaf/49234879;http://viaf.org/viaf/;49234879;AM 04.09.1749 ;;;
Cothenius, Christian Andreas von;Cothenius;Christian Andreas von;Christian Andreas von Cothenius;1708;1789;http://viaf.org/viaf/62347144;http://viaf.org/viaf/;62347144;OM 09.04.1750  to 18.09.1760 ;EM 18.09.1760  to 16.01.1766 ;OM 16.01.1766 ;
Castillon,  Jean de;Castillon; Jean de; Jean de Castillon;1708;1791;http://viaf.org/viaf/30288706;http://viaf.org/viaf/;30288706;AM 04.09.1755  bis 05.01.1764;OM 05.01.1764 ;;
Castillon,  Jean de;Castillon; Jean de; Jean de Castillon;1708;1791;http://viaf.org/viaf/30288706;http://viaf.org/viaf/;30288706;AM 04.09.1755  bis 05.01.1764;OM 05.01.1764 ;;
Raulin,  Joseph;Raulin; Joseph; Joseph Raulin;1708;1784;http://viaf.org/viaf/49516437;http://viaf.org/viaf/;49516437;AM 10.04.1777 ;;;
Perronet,  Jean-Rodolphe;Perronet; Jean-Rodolphe; Jean-Rodolphe Perronet;1708;1794;http://viaf.org/viaf/14798553;http://viaf.org/viaf/;14798553;AM 04.11.1790 ;;;
Schaarschmidt,  Samuel;Schaarschmidt; Samuel; Samuel Schaarschmidt;1709;1747;http://viaf.org/viaf/57707626;http://viaf.org/viaf/;57707626;OM 17.10.1735 ;;;
Marggraf,  Andreas Sigismund;Marggraf; Andreas Sigismund; Andreas Sigismund Marggraf;1709;1782;http://viaf.org/viaf/46818020;http://viaf.org/viaf/;46818020;OM 19.02.1738 ;;;
Dumolard,  Charles;Dumolard; Charles; Charles Dumolard;1709;1772;http://viaf.org/viaf/39408010;http://viaf.org/viaf/;39408010;AM 08.02.1741 ;;;
Münchow, Ludwig Wilhelm von;Münchow;Ludwig Wilhelm von;Ludwig Wilhelm von Münchow;1709;1753;http://viaf.org/viaf/121706688;http://viaf.org/viaf/;121706688;EM 23.01.1744 ;;;
Gresset,  Jean-Baptiste-Louis de;Gresset; Jean-Baptiste-Louis de; Jean-Baptiste-Louis de Gresset;1709;1777;http://viaf.org/viaf/41861940;http://viaf.org/viaf/;41861940;AM 11.02.1747 ;;;
La Mettrie, Julien Jean Offray de;La Mettrie;Julien Jean Offray de;Julien Jean Offray de La Mettrie;1709;1751;http://viaf.org/viaf/59084677;http://viaf.org/viaf/;59084677;OM 04.07.1748 ;;;
Tronchin,  Théodore;Tronchin; Théodore; Théodore Tronchin;1709;1781;http://viaf.org/viaf/52000852;http://viaf.org/viaf/;52000852;AM 11.03.1751 ;;;
Gesner,  Johannes;Gesner; Johannes; Johannes Gesner;1709;1790;http://viaf.org/viaf/27879169;http://viaf.org/viaf/;27879169;AM 17.06.1751 ;;;
Ludwig,  Christian Gottlieb;Ludwig; Christian Gottlieb; Christian Gottlieb Ludwig;1709;1773;http://viaf.org/viaf/27181512;http://viaf.org/viaf/;27181512;AM 10.05.1753 ;;;
Turpin de Crissé, Lancelot, comte;Turpin de Crissé;Lancelot, comte;Lancelot, comte Turpin de Crissé;1709;1799;http://viaf.org/viaf/41849779;http://viaf.org/viaf/;41849779;AM 28.08.1754 ;;;
Zanotti,  Eustachio;Zanotti; Eustachio; Eustachio Zanotti;1709;1782;http://viaf.org/viaf/12355548;http://viaf.org/viaf/;12355548;AM 23.10.1760 ;;;
Stuebner,  Friedrich Wilhelm;Stuebner; Friedrich Wilhelm; Friedrich Wilhelm Stuebner;1710;1736;http://viaf.org/viaf/7045936;http://viaf.org/viaf/;7045936;AM 17.06.1733 ;;;
Sweerts,  Ernst Maximilian Freiherr von Travels;Sweerts; Ernst Maximilian Freiherr von Travels; Ernst Maximilian Freiherr von Travels Sweerts;1710;1757;http://viaf.org/viaf/no ID found;http://viaf.org/viaf/;no ID found;EM 23.01.1744 ;;;
Bernoulli,  Johann;Bernoulli; Johann; Johann Bernoulli;1710;1790;http://viaf.org/viaf/56879472;http://viaf.org/viaf/;56879472;AM 30.06.1746 ;;;
Lulofs,  Johann;Lulofs; Johann; Johann Lulofs;1711;1768;http://viaf.org/viaf/35321506;http://viaf.org/viaf/;35321506;AM 08.08.1736 ;;;
Formey,  Samuel;Formey; Samuel; Samuel Formey;1711;1797;http://viaf.org/viaf/51703551;http://viaf.org/viaf/;51703551;OM 23.01.1744 ;;;
Keith,  Peter Karl Christoph von ;Keith; Peter Karl Christoph von ; Peter Karl Christoph von  Keith;1711;1756;http://viaf.org/viaf/81876280;http://viaf.org/viaf/;81876280;EM 16.02.1744 ;;;
Jacquier,  François;Jacquier; François; François Jacquier;1711;1788;http://viaf.org/viaf/36964441;http://viaf.org/viaf/;36964441;AM 04.09.1749 ;;;
Lange,  Samuel Gotthold;Lange; Samuel Gotthold; Samuel Gotthold Lange;1711;1781;http://viaf.org/viaf/2485690;http://viaf.org/viaf/;2485690;AM 14.01.1751 ;;;
Darget, Claude Étienne;Darget;Claude Étienne;Claude Étienne Darget;1712;1778;http://viaf.org/viaf/258561269;http://viaf.org/viaf/;258561269;EM 1745 ;;;
Algarotti, Francesco, conte;Algarotti;Francesco, conte;Francesco, conte Algarotti;1712;1764;http://viaf.org/viaf/68955699;http://viaf.org/viaf/;68955699;AM 05.30.1747 ;;;
Guasco,  Octavien de;Guasco; Octavien de; Octavien de Guasco;1712;1781;http://viaf.org/viaf/61680854;http://viaf.org/viaf/;61680854;AM 11.12.1749 ;;;
Le Fevre,  Simon Dieudonné;Le Fevre; Simon Dieudonné; Simon Dieudonné Le Fevre;1712;1771;http://viaf.org/viaf/no ID found;http://viaf.org/viaf/;no ID found;OM 17.06.1751  bis 09.12.1751;AM 09.12.1751 ;;
Jallabert,  Jean;Jallabert; Jean; Jean Jallabert;1712;1768;http://viaf.org/viaf/9970490;http://viaf.org/viaf/;9970490;AM 16.03.1752 ;;;
Hee,  Christen;Hee; Christen; Christen Hee;1712;1782;http://viaf.org/viaf/45442390?;http://viaf.org/viaf/;45442390?;AM 19.10.1752 ;;;
Sallé,  Jacques-Antoine;Sallé; Jacques-Antoine; Jacques-Antoine Sallé;1712;1778;http://viaf.org/viaf/3390184;http://viaf.org/viaf/;3390184;AM 02.09.1756 ;;;
Bourgelat,  Claude;Bourgelat; Claude; Claude Bourgelat;1712;1799;http://viaf.org/viaf/41870201;http://viaf.org/viaf/;41870201;AM 28.08.1764 ;;;
Henckel, Johann Friedrich;Henckel;Johann Friedrich;Johann Friedrich Henckel;1712;1779;http://viaf.org/viaf/272070251;http://viaf.org/viaf/;272070251;OM 04.07.1776 ;;;
Gravel,  John;Gravel; John; John Gravel;1713;1781;http://viaf.org/viaf/no ID found;http://viaf.org/viaf/;no ID found;OM 13.02.1744  to 20.09.1754 ;AM 20.09.1754 ;;
Peçrard,  Jacques de;Peçrard; Jacques de; Jacques de Peçrard;1713;1766;http://viaf.org/viaf/20085253;http://viaf.org/viaf/;20085253;AM 12.21.1747 ;;;
Juan y Santacilia,  Don Jorge;Juan y Santacilia; Don Jorge; Don Jorge Juan y Santacilia;1713;1773;http://viaf.org/viaf/59092440;http://viaf.org/viaf/;59092440;AM 16.04.1750 ;;;
Raynal,  Guillaume-Thomas-Françﬂois;Raynal; Guillaume-Thomas-Françﬂois; Guillaume-Thomas-Françﬂois Raynal;1713;1796;http://viaf.org/viaf/89354395;http://viaf.org/viaf/;89354395;AM 29.10.1750 ;;;
Juan y Santacilia,  Don Jorge;Juan y Santacilia; Don Jorge; Don Jorge Juan y Santacilia;1713;1773;http://viaf.org/viaf/59092440;http://viaf.org/viaf/;59092440;AM 16.04.1750 ;;;
Raynal,  Guillaume-Thomas-François;Raynal; Guillaume-Thomas-François; Guillaume-Thomas-François Raynal;1713;1796;http://viaf.org/viaf/89354395;http://viaf.org/viaf/;89354395;AM 29.10.1750 ;;;
Diderot,  Denis;Diderot; Denis; Denis Diderot;1713;1784;http://viaf.org/viaf/54146831;http://viaf.org/viaf/;54146831;AM 04.03.1751 ;;;
Bertrand,  Jean-Elie;Bertrand; Jean-Elie; Jean-Elie Bertrand;1713;1797;http://viaf.org/viaf/56660949;http://viaf.org/viaf/;56660949;AM 29.06.1752 ;;;
Kies,  Johannes;Kies; Johannes; Johannes Kies;1713;1781;http://viaf.org/viaf/42582578;http://viaf.org/viaf/;42582578;OM 13.02.1744  bis 20.09.1754;AM 20.09.1754 ;;
La Caille,  Nicolas-Louis de;La Caille; Nicolas-Louis de; Nicolas-Louis de La Caille;1713;1762;http://viaf.org/viaf/24634619;http://viaf.org/viaf/;24634619;AM 27.02.1755 ;;;
Baratier de saint-auban,  Antoine;Baratier de saint-auban; Antoine; Antoine Baratier de saint-auban;1713;1783;http://viaf.org/viaf/34500639;http://viaf.org/viaf/;34500639;AM 22.06.1780 ;;;
Gleditsch,  Johann Gottlieb;Gleditsch; Johann Gottlieb; Johann Gottlieb Gleditsch;1714;1786;http://viaf.org/viaf/62305968;http://viaf.org/viaf/;62305968;OM 23.01.1744 ;;;
Finck von Finckenstein, Karl Graf von;Finck von Finckenstein;Karl Graf von;Karl Graf von Finck von Finckenstein;1714;1800;http://viaf.org/viaf/50021843;http://viaf.org/viaf/;50021843;EM 23.01.1744 ;;;
Cassini de thury,  César-François;Cassini de thury; César-François; César-François Cassini de thury;1714;1784;http://viaf.org/viaf/286014005;http://viaf.org/viaf/;286014005;AM 30.06.1746 ;;;
Beguelin,  Nicolas de;Beguelin; Nicolas de; Nicolas de Beguelin;1714;1789;http://viaf.org/viaf/29523176;http://viaf.org/viaf/;29523176;OM 02.11.1747 ;;;
Condillac,  Etienne Bonnot de;Condillac; Etienne Bonnot de; Etienne Bonnot de Condillac;1714;1780;http://viaf.org/viaf/9844868;http://viaf.org/viaf/;9844868;AM 04.12.1749 ;;;
Springsfeld,  Gottlob Karl;Springsfeld; Gottlob Karl; Gottlob Karl Springsfeld;1714;1772;http://viaf.org/viaf/20022564;http://viaf.org/viaf/;20022564;AM 23.12.1751 ;;;
Montigny,  Étienne Mignot de;Montigny; Étienne Mignot de; Étienne Mignot de Montigny;1714;1782;http://viaf.org/viaf/59388587;http://viaf.org/viaf/;59388587;AM 15.06.1752 ;;;
Le Monnier,  Pierre-Charles;Le Monnier; Pierre-Charles; Pierre-Charles Le Monnier;1715;1799;http://viaf.org/viaf/9877713;http://viaf.org/viaf/;9877713;AM 29.01.1745 ;;;
Kruger,  Johann Gottlob;Kruger; Johann Gottlob; Johann Gottlob Kruger;1715;1759;http://viaf.org/viaf/29524137;http://viaf.org/viaf/;29524137;AM 03.02.1746 ;;;
Toussaint,  François-Vincent;Toussaint; François-Vincent; François-Vincent Toussaint;1715;1772;http://viaf.org/viaf/56619317;http://viaf.org/viaf/;56619317;AM 04.03.1751  bis 08.11.1764;OM 08.11.1764 ;;
Leidenfrost,  Johann Gottlob;Leidenfrost; Johann Gottlob; Johann Gottlob Leidenfrost;1715;1794;http://viaf.org/viaf/49988436;http://viaf.org/viaf/;49988436;AM 16.11.1758 ;;;
Helvetius,  Claude-Adrien;Helvetius; Claude-Adrien; Claude-Adrien Helvetius;1715;1771;http://viaf.org/viaf/100185545;http://viaf.org/viaf/;100185545;AM 05.01.1764 ;;;
Toussaint,  François-Vincent;Toussaint; François-Vincent; François-Vincent Toussaint;1715;1772;http://viaf.org/viaf/56619317;http://viaf.org/viaf/;56619317;AM 04.03.1751  bis 08.11.1764;OM 08.11.1764 ;;
Dävila, Pedro Franco;Dävila;Pedro Franco;Pedro Franco Dävila;1715;1785;http://viaf.org/viaf/2519559;http://viaf.org/viaf/;2519559;AM 09.09.1767 ;;;
Ploucquet,  Gottfried;Ploucquet; Gottfried; Gottfried Ploucquet;1716;1790;http://viaf.org/viaf/27211412;http://viaf.org/viaf/;27211412;AM 04.09.1749 ;;;
L'Écluse des Loges, Pierre Mathurin de;L'Écluse des Loges;Pierre Mathurin de;Pierre Mathurin de L'Écluse des Loges;1716;1783;http://viaf.org/viaf/36966039;http://viaf.org/viaf/;36966039;AM 11.12.1749 ;;;
Ulloa, Antonio De;Ulloa;Antonio De;Antonio De Ulloa;1716;1795;http://viaf.org/viaf/14789424;http://viaf.org/viaf/;14789424;AM 16.04.1750 ;;;
Unger,  Johann Friedrich ;Unger; Johann Friedrich ; Johann Friedrich  Unger;1716;1781;http://viaf.org/viaf/57666173;http://viaf.org/viaf/;57666173;AM 04.11.1751 ;;;
d'Aubenton,  Louis-Jean-Marie;d'Aubenton; Louis-Jean-Marie; Louis-Jean-Marie d'Aubenton;1716;1800;http://viaf.org/viaf/234446776;http://viaf.org/viaf/;234446776;AM 15.06.1752  bis 31.12.1799;;;
Prémontval,  André-Pierre le Guay de;Prémontval; André-Pierre le Guay de; André-Pierre le Guay de Prémontval;1716;1764;http://viaf.org/viaf/27118014;http://viaf.org/viaf/;27118014;OM 29.06.1752 ;;;
Mayer,  Andreas;Mayer; Andreas; Andreas Mayer;1716;1782;http://viaf.org/viaf/54491156;http://viaf.org/viaf/;54491156;AM 15.01.1755 ;;;
Secondat,  Jean-Baptiste Baron de;Secondat; Jean-Baptiste Baron de; Jean-Baptiste Baron de Secondat;1716;1796;http://viaf.org/viaf/25385506;http://viaf.org/viaf/;25385506;AM 17.04.1755 ;;;
Schaffgotsch, Philipp Gotthard Von;Schaffgotsch;Philipp Gotthard Von;Philipp Gotthard Von Schaffgotsch;1716;1795;http://viaf.org/viaf/47196780;http://viaf.org/viaf/;47196780;AM 27.01.1758 ;;;
Nivernais, Louis Jules Barbon Mancini-Mazarini, duc de;Nivernais;Louis Jules Barbon Mancini-Mazarini, duc de;Louis Jules Barbon Mancini-Mazarini, duc de Nivernais;1716;1798;http://viaf.org/viaf/89259315;http://viaf.org/viaf/;89259315;AM 08.04.1756 ;;;
Pernetty,  Antoine-Joseph;Pernetty; Antoine-Joseph; Antoine-Joseph Pernetty;1716;1796;http://viaf.org/viaf/121552511;http://viaf.org/viaf/;121552511;OM 22.09.1768  bis 30.10.1783;AM 30.10.1783 ;;
Pernetty,  Antoine-Joseph;Pernetty; Antoine-Joseph; Antoine-Joseph Pernetty;1716;1796;http://viaf.org/viaf/121552511;http://viaf.org/viaf/;121552511;OM 22.09.1768  bis 30.10.1783;AM 30.10.1783 ;;
Bielfeld,  Jakob Friedrich Freiherr von;Bielfeld; Jakob Friedrich Freiherr von; Jakob Friedrich Freiherr von Bielfeld;1717;1770;http://viaf.org/viaf/41904707;http://viaf.org/viaf/;41904707;EM 23.01.1744 ;;;
Wernsdorf,  Gottlieb;Wernsdorf; Gottlieb; Gottlieb Wernsdorf;1717;1774;http://viaf.org/viaf/54577679;http://viaf.org/viaf/;54577679;AM 29.01.1745 ;;;
Alembert,  Jean Le Rond d';Alembert; Jean Le Rond d'; Jean Le Rond d' Alembert;1717;1783;http://viaf.org/viaf/46756283;http://viaf.org/viaf/;46756283;AM 06.02.1746 ;;;
Le Monnier,  Louis-Guillaume;Le Monnier; Louis-Guillaume; Louis-Guillaume Le Monnier;1717;1799;http://viaf.org/viaf/61631727;http://viaf.org/viaf/;61631727;AM 30.06.1746 ;;;
Bianconi,  Giovanni Luigi;Bianconi; Giovanni Luigi; Giovanni Luigi Bianconi;1717;1781;http://viaf.org/viaf/245923;http://viaf.org/viaf/;245923;AM 04.09.1749 ;;;
Böhmer,  Philipp Adolph;Böhmer; Philipp Adolph; Philipp Adolph Böhmer;1717;1789;http://viaf.org/viaf/15514305;http://viaf.org/viaf/;15514305;AM 19.10.1752 ;;;
Arnaud,  François-Thomas-Marie de Baculard d';Arnaud; François-Thomas-Marie de Baculard d'; François-Thomas-Marie de Baculard d' Arnaud;1718;1805;http://viaf.org/viaf/95165197;http://viaf.org/viaf/;95165197;OM 11.06.1750 ;AT 1751 ;;
Arnaud,  François-Thomas-Marie de Baculard d';Arnaud; François-Thomas-Marie de Baculard d'; François-Thomas-Marie de Baculard d' Arnaud;1718;1805;http://viaf.org/viaf/95165197;http://viaf.org/viaf/;95165197;OM 11.06.1750 ;AM 1751 ;;
Meier,  Georg Friedrich;Meier; Georg Friedrich; Georg Friedrich Meier;1718;1777;http://viaf.org/viaf/14798759;http://viaf.org/viaf/;14798759;AM 14.01.1751 ;;;
Maty,  Matthew;Maty; Matthew; Matthew Maty;1718;1776;http://viaf.org/viaf/54137049;http://viaf.org/viaf/;54137049;AM 15.01.1755 ;;;
Schäffer, Jacob Christian;Schäffer;Jacob Christian;Jacob Christian Schäffer;1718;1790;http://viaf.org/viaf/47016953;http://viaf.org/viaf/;47016953;AM 07.09.1758 ;;;
Watelet,  Claude-Henri;Watelet; Claude-Henri; Claude-Henri Watelet;1718;1786;http://viaf.org/viaf/66565253;http://viaf.org/viaf/;66565253;AM 28.06.1764 ;;;
Cochius,  Leonhard;Cochius; Leonhard; Leonhard Cochius;1718;1779;http://viaf.org/viaf/231353668;http://viaf.org/viaf/;231353668;OM 26.04.1770 ;;;
Fischer,  Caspar;Fischer; Caspar; Caspar Fischer;1719;1787;http://viaf.org/viaf/47516424;http://viaf.org/viaf/;47516424;AM 06.14.1730 ;;;
Kästner,  Abraham Gotthelf;Kästner; Abraham Gotthelf; Abraham Gotthelf Kästner;1719;1800;http://viaf.org/viaf/39450522;http://viaf.org/viaf/;39450522;AM 05.02.1750 ;;;
Kästner,  Abraham Gotthelf;Kästner; Abraham Gotthelf; Abraham Gotthelf Kästner;1719;1800;http://viaf.org/viaf/39450522;http://viaf.org/viaf/;39450522;AM 05.02.1750 ;;;
Lehmann,  Johann Gottlob;Lehmann; Johann Gottlob; Johann Gottlob Lehmann;1719;1767;http://viaf.org/viaf/43306812;http://viaf.org/viaf/;43306812;OM 19.09.1754  bis 11.06.1761;AM 11.06.1761 ;;
Lehmann,  Johann Gottlob;Lehmann; Johann Gottlob; Johann Gottlob Lehmann;1719;1767;http://viaf.org/viaf/43306812;http://viaf.org/viaf/;43306812;OM 19.09.1754  bis 11.06.1761;AM 11.06.1761 ;;
Expilly,  Jean-Joseph d';Expilly; Jean-Joseph d'; Jean-Joseph d' Expilly;1719;1793;http://viaf.org/viaf/91413022;http://viaf.org/viaf/;91413022;AM 28.06.1764 ;;;
Toaldo,  Giuseppe;Toaldo; Giuseppe; Giuseppe Toaldo;1719;1797;http://viaf.org/viaf/66457881;http://viaf.org/viaf/;66457881;AM 07.07.1776 ;;;
Redern, Sigismund Ehrenreich von;Redern;Sigismund Ehrenreich von;Sigismund Ehrenreich von Redern;1720;1789;http://viaf.org/viaf/67249408;http://viaf.org/viaf/;67249408;EM 07.09.1747 ;;;
Sulzer,  Johann Georg;Sulzer; Johann Georg; Johann Georg Sulzer;1720;1779;http://viaf.org/viaf/12414726;http://viaf.org/viaf/;12414726;OM 29.10.1750 ;;;
Sulzer,  Johann Georg;Sulzer; Johann Georg; Johann Georg Sulzer;1720;1779;http://viaf.org/viaf/12414726;http://viaf.org/viaf/;12414726;OM 29.10.1750 ;;;
Prades, Jean-Martin de;Prades;Jean-Martin de;Jean-Martin de Prades;1720;1882;http://viaf.org/viaf/61556168;http://viaf.org/viaf/;61556168;AM 10.05.1753  bis 01.04.1756;EM 01.04.1756 ;;
Brandes, Carl Philipp;Brandes;Carl Philipp;Carl Philipp Brandes;1720;1776;http://viaf.org/viaf/100503889;http://viaf.org/viaf/;100503889;AM 23.10.1755  bis 30.10.1760;OM 30.10.1760 ;;
Brandes, Carl Philipp;Brandes;Carl Philipp;Carl Philipp Brandes;1720;1776;http://viaf.org/viaf/100503889;http://viaf.org/viaf/;100503889;AM 23.10.1755  bis 30.10.1760;OM 30.10.1760 ;;
Bonnet,  Charles;Bonnet; Charles; Charles Bonnet;1720;1793;http://viaf.org/viaf/54156589;http://viaf.org/viaf/;54156589;AM 07.12.1786 ;;;
Baratier,  Johann Philipp;Baratier; Johann Philipp; Johann Philipp Baratier;1721;1740;http://viaf.org/viaf/2605836;http://viaf.org/viaf/;2605836;AM 03.31.1735 ;;;
Vasconcelos, José Joaquim Soares de Barros e;Vasconcelos;José Joaquim Soares de Barros e;José Joaquim Soares de Barros e Vasconcelos;1721;1793;http://viaf.org/viaf/99701807;http://viaf.org/viaf/;99701807;AM 15.01.1755 ;;;
Silberschlag,  Johann Esaias;Silberschlag; Johann Esaias; Johann Esaias Silberschlag;1721;1791;http://viaf.org/viaf/69658911;http://viaf.org/viaf/;69658911;AM 13.03.1760  bis 23.11.1786;OM 30.11.1786 ;;
Wegelin,  Jakob;Wegelin; Jakob; Jakob Wegelin;1721;1791;http://viaf.org/viaf/27932970;http://viaf.org/viaf/;27932970;OM 13.11.1766 ;;;
Silberschlag,  Johann Esaias;Silberschlag; Johann Esaias; Johann Esaias Silberschlag;1721;1791;http://viaf.org/viaf/69658911;http://viaf.org/viaf/;69658911;AM 13.03.1760  bis 23.11.1786;OM 30.11.1786 ;;
Carmer, Johann Heinrich Casimir von;Carmer;Johann Heinrich Casimir von;Johann Heinrich Casimir von Carmer;1721;1801;http://viaf.org/viaf/40130370;http://viaf.org/viaf/;40130370;EM 29.01.1789 ;;;
Argenson, Antoine-René de Voyer, marquis de Paulmy;Argenson;Antoine-René de Voyer, marquis de Paulmy;Antoine-René de Voyer, marquis de Paulmy Argenson;1722;1787;http://viaf.org/viaf/66501599;http://viaf.org/viaf/;66501599;AM 02.02.1747 ;;;
Passavant,  Daniel;Passavant; Daniel; Daniel Passavant;1722;1799;http://viaf.org/viaf/6740799;http://viaf.org/viaf/;6740799;OM 04.07.1748  to 26.04.1750 ;;;
Walmesley,  Charles;Walmesley; Charles; Charles Walmesley;1722;1797;http://viaf.org/viaf/57395592;http://viaf.org/viaf/;57395592;AM 05.02.1750 ;;;
